contrast,cover_value,n_runs,median,lower,upper,cover_label
PF − SF[i],0.5,14,-1.39852729713835,-2.60095364555189,0.513643164203779,50% forest cover
PF − SF[i],0.5,15,-1.40189375553155,-2.83739934721052,0.767062908067146,50% forest cover
PF − SF[i],0.5,16,-1.40272882998329,-2.52170064383063,0.513146273196526,50% forest cover
PF − SF[i],0.5,17,-1.40189375553155,-2.57517123074831,0.259229638325905,50% forest cover
PF − SF[i],0.5,18,-1.40272882998329,-2.59825283418195,0.513146273196526,50% forest cover
PF − SF[i],0.5,19,-1.40189375553155,-2.57517123074831,0.259229638325905,50% forest cover
PF − SF[i],0.5,20,-1.40272882998329,-2.39058658559952,-0.381473201882944,50% forest cover
PF − SF[i],0.5,21,-1.40189375553155,-2.20600194045073,-0.366176844509027,50% forest cover
PF − SF[i],0.5,22,-1.40272882998329,-1.93647133980358,-0.696034413655299,50% forest cover
PF − SF[i],0.5,23,-1.40356390443503,-1.66694073915642,-1.02589198280157,50% forest cover
PF − SF[i],0.5,24,-1.40272882998329,-1.93647133980358,-1.19745344089026,50% forest cover
PF − SF[i],0.5,25,-1.40189375553155,-1.66694073915642,-1.02589198280157,50% forest cover
PF − SF[i],0.5,26,-1.40272882998329,-1.61358838114757,-1.20548980347667,50% forest cover
PF − SF[i],0.5,27,-1.40189375553155,-1.56023602313871,-1.38508762415177,50% forest cover
PF − SF[i],0.5,28,-1.40272882998329,-1.48189996378687,-1.39349068984166,50% forest cover
PF − SF[i],0.5,29,-1.40356390443503,-1.40356390443503,-1.40189375553155,50% forest cover
PF − SF[i],0.5,30,-1.40272882998329,-1.40272882998329,-1.40272882998329,50% forest cover
PF − SF[i],0.75,2,-3.85686961471629,-6.66864971309929,-0.0157808067501715,75% forest cover
PF − SF[i],0.75,3,-3.40086079705543,-6.99255106545115,-0.608792346924633,75% forest cover
PF − SF[i],0.75,4,-3.79159034818019,-6.55807672008451,-1.29306980939291,75% forest cover
PF − SF[i],0.75,5,-4.13656977537403,-6.93070856736495,-1.60546950054186,75% forest cover
PF − SF[i],0.75,6,-3.78486897677374,-6.55041039717094,-1.31414036462161,75% forest cover
PF − SF[i],0.75,7,-3.40086079705543,-6.18544487280406,-1.63231128936128,75% forest cover
PF − SF[i],0.75,8,-3.70675613987726,-6.02341321976832,-1.61864569521384,75% forest cover
PF − SF[i],0.75,9,-4.13656977537403,-6.10826972889072,-1.63299954035665,75% forest cover
PF − SF[i],0.75,10,-3.76871528621473,-5.75711661518858,-2.05558247762475,75% forest cover
PF − SF[i],0.75,11,-3.76871528621473,-5.40596350148644,-2.2793268683572,75% forest cover
PF − SF[i],0.75,12,-3.76871528621473,-5.63050730126133,-2.3354080352301,75% forest cover
PF − SF[i],0.75,13,-4.13656977537403,-5.40596350148644,-2.2793268683572,75% forest cover
PF − SF[i],0.75,14,-3.76871528621473,-5.16811790385557,-2.39216703603474,75% forest cover
PF − SF[i],0.75,15,-4.13656977537403,-5.40596350148644,-2.47473423728115,75% forest cover
PF − SF[i],0.75,16,-3.76871528621473,-5.08254607557675,-2.39255515098898,75% forest cover
PF − SF[i],0.75,17,-4.13656977537403,-4.92325344430356,-2.47473423728115,75% forest cover
PF − SF[i],0.75,18,-3.76871528621473,-4.90138595930074,-2.49025883545096,75% forest cover
PF − SF[i],0.75,19,-3.40086079705543,-4.75492032159946,-2.50578343362076,75% forest cover
PF − SF[i],0.75,20,-3.76871528621473,-4.57554739290632,-2.68939507591881,75% forest cover
PF − SF[i],0.75,21,-3.40086079705543,-4.75492032159946,-2.86382613610196,75% forest cover
PF − SF[i],0.75,22,-3.76871528621473,-4.57344322887252,-2.68939507591881,75% forest cover
PF − SF[i],0.75,23,-3.40086079705543,-4.75492032159946,-2.86382613610196,75% forest cover
PF − SF[i],0.75,24,-3.76871528621473,-4.57344322887252,-2.73433249064192,75% forest cover
PF − SF[i],0.75,25,-3.40086079705543,-4.39196613614558,-2.87300671821686,75% forest cover
PF − SF[i],0.75,26,-3.76871528621473,-4.31001807969074,-2.91794413293997,75% forest cover
PF − SF[i],0.75,27,-3.40086079705543,-4.22807002323589,-2.96288154766307,75% forest cover
PF − SF[i],0.75,28,-3.76871528621473,-4.18231989930496,-3.18187117235925,75% forest cover
PF − SF[i],0.75,29,-4.13656977537403,-4.13656977537403,-3.40086079705543,75% forest cover
PF − SF[i],0.75,30,-3.76871528621473,-3.76871528621473,-3.76871528621473,75% forest cover
