response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[i],0.5,50% cover,4,0.179678423236851,-1.87580383554546,2.50350808134463
Evapo,ET,mm,PF - SF[i],0.5,50% cover,5,-0.0123897704302003,-1.6184108463344,2.4559440420099
Evapo,ET,mm,PF - SF[i],0.5,50% cover,6,0.0774906213137001,-1.56984556368205,2.08129994110692
Evapo,ET,mm,PF - SF[i],0.5,50% cover,7,0.0123897704302003,-1.6176860907274,2.3470090348451
Evapo,ET,mm,PF - SF[i],0.5,50% cover,8,-0.0196331344057494,-1.44952102899842,2.08458162409869
Evapo,ET,mm,PF - SF[i],0.5,50% cover,9,0.0123897704302003,-1.6176860907274,2.2870528693267
Evapo,ET,mm,PF - SF[i],0.5,50% cover,10,0,-1.49834296934236,2.00001386818405
Evapo,ET,mm,PF - SF[i],0.5,50% cover,11,0.0123897704302003,-1.52369042627214,1.713273244485
Evapo,ET,mm,PF - SF[i],0.5,50% cover,12,0,-1.49651886122605,1.2141708120347
Evapo,ET,mm,PF - SF[i],0.5,50% cover,13,-0.0123897704302003,-1.37899984795733,1.70163652418499
Evapo,ET,mm,PF - SF[i],0.5,50% cover,14,0.0713405650007495,-0.984872651896064,1.20801958357324
Evapo,ET,mm,PF - SF[i],0.5,50% cover,15,0.0123897704302003,-1.3753516317247,1.7013381467414
Evapo,ET,mm,PF - SF[i],0.5,50% cover,16,0,-0.983048543779752,1.20787039485145
Evapo,ET,mm,PF - SF[i],0.5,50% cover,17,0.0123897704302003,-0.590745455834799,1.7013381467414
Evapo,ET,mm,PF - SF[i],0.5,50% cover,18,0,-0.496618883639915,1.05182087380265
Evapo,ET,mm,PF - SF[i],0.5,50% cover,19,0.0123897704302003,-0.590745455834799,0.628114438423602
Evapo,ET,mm,PF - SF[i],0.5,50% cover,20,0,-0.491878831152548,0.516287622200473
Evapo,ET,mm,PF - SF[i],0.5,50% cover,21,0.0123897704302003,-0.393012206470299,0.628114438423602
